Utterance	Intents
cuando me vuelven a reconectar el servicio	l_General, q_Chitchat
como hago para cancelar el seguro	q_Chitchat, q_Faq
que ocurre si el titular del credito fallece	q_Chitchat, q_Faq
en cuantos dias me realizan la visita	q_Chitchat, q_Faq
en cuanto esta el kilovatio en este mes	q_Chitchat, q_Faq
conectar el calentador estufa cocina	q_Chitchat, q_Faq
como puedo unir el cupo de brilla	q_Chitchat, q_Faq
cuando resuelven	q_Chitchat, q_Faq
en cuanto tiempo me realizan la visita	q_Chitchat, q_Faq
en este mes en cuanto esta la tarifa	q_Chitchat, q_Faq
financiacion brilla	q_Chitchat, q_Faq
quiero un certificado de mi recibo	l_General, q_Chitchat
valor de la revision periodica	q_Chitchat, q_Faq
necesito que me hagan una visita para revision del medidor o cambio	q_Chitchat, q_Faq
exoneracion de pago de contribucion	l_General, q_Chitchat
soporte de pago del ultimo mes	l_General, q_Chitchat
deseo cancelar solo el gas	l_General, q_Chitchat
necesito la referencia de pago	l_General, q_Chitchat
si se me daño algo, brilla me cubre	q_Chitchat, q_Faq
a que horas me reconectan el servicio	l_General, q_Chitchat, q_Faq
estoy en desacuerdo con mi factura	l_General, q_Chitchat
cuanto se demoran mas o menos en ir	q_Chitchat, q_Faq
cuales es el precio para una nueva matricula	q_Chitchat, q_Faq
reconexion residencial	q_Chitchat, q_Faq
por que aplican una tarifa diferente al costo unitario	q_Chitchat, q_Faq
en cuanto tiempo los tecnicos atienden mi solicitud	q_Chitchat, q_Faq
catalogo de productos brilla	q_Chitchat, q_Faq
el señor xxx identificado con # si es de la empresa	l_General, q_Chitchat
quiero saber que es lo que me cobran en los recibos	q_Chitchat, q_Faq
que puedo financiar con brilla	q_Chitchat, q_Faq
no estoy de acuerdo con mi consumo	l_General, q_Chitchat
deseo pagar la factura anterior	l_General, q_Chitchat
necesito un mantenimiento	q_Chitchat, q_Faq
revision obligatoria	q_Chitchat, q_Faq
quiero saber el historial de mi factura	l_General, q_Chitchat
estado sqr	l_General, q_Chitchat
a mi vecino la facturan por menor valor	l_General, q_Chitchat
solicito una visita al predio para que revisen el medidor	q_Chitchat, q_Faq
dejar de pagar poliza de seguro	q_Chitchat, q_Faq
reconexion desde el medidor	l_General, q_Chitchat, q_Faq
factor de correccion	q_Chitchat, q_Faq
alamacenes donde puedo financiar con brilla	q_Chitchat, q_Faq
para informacion sobre la garantia que tiene el producto tal brilla.	q_Chitchat, q_Faq
cuando toca la revision periodica que costo tiene	q_Chitchat, q_Faq
por aquí me generan un certificado de los valores cobrados en mi factura	l_General, q_Chitchat
como hago para sumar los cupos que tengo en la casa	q_Chitchat, q_Faq
necesito cotizar un multiservicio	q_Chitchat, q_Faq
que se debe hacer para una solicitud de mantenimiento	q_Chitchat, q_Faq
deseo pagar el recibo anterior	l_General, q_Chitchat
ya pague el servicio, me reconectan la energia ya mismo	l_General, q_Chitchat, q_Faq
reclamar un seguro	q_Chitchat, q_Faq
necesito saber que puedo sacar con brilla, me dan la plata	q_Chitchat, q_Faq
como hago para sumar cupos	q_Chitchat, q_Faq
cuanto se demora en atender la solicitud	q_Chitchat, q_Faq
aquí puedo saber el valor de mi factura y la feca limite	l_General, q_Chitchat
necesito imprimir mi factura	l_General, q_Chitchat
soporte de pago de enero	l_General, q_Chitchat
deseo que me explique los montos que figuran en mi recibo	q_Chitchat, q_Faq
necesito saber que me estan cobrando en la factura	q_Chitchat, q_Faq
un anticipo de mi factura	l_General, q_Chitchat
no estoy de acuerdo con	q_Chitchat, q_Faq
donde se pueden buscar las tarifas de los servicios	q_Chitchat, q_Faq
cual es el telefono de la aseguradora	q_Chitchat, q_Faq
quiero hacer un reclamo	q_Chitchat, q_Faq
se me perdio la factura y necesito pagar por aquí me pueden indicar el numero de cupon para pagar	l_General, q_Chitchat
donde pueden adquirir electrodomesticos	q_Chitchat, q_Faq
certificado de tus facturas	l_General, q_Chitchat
me llegó más caro mi recibo	l_General, q_Chitchat
cual es la tarifa de los servicios complementarios	q_Chitchat, q_Faq
cuando me realizan la reconexion del servicio	l_General, q_Chitchat
cuando sera mi proxima revision	l_General, q_Chitchat
por aqui me pueden explicar mi recibo	q_Chitchat, q_Faq
el tecnico que esta en mi casa si pertenece a la empresa	l_General, q_Chitchat
donde puedo ver los productos que tiene brilla	q_Chitchat, q_Faq
donde se dirige para solicitar la garantia de electrodomesticos de brilla	q_Chitchat, q_Faq
para solicitar la reconexion	q_Chitchat, q_Faq
cada cuanto van los tecnicos para mantenimiento	q_Chitchat, q_Faq
necesito de la certificacion de la red	q_Chitchat, q_Faq
como hago para solicitar la garantia	q_Chitchat, q_Faq
resumen de estado de cuenta	l_General, q_Chitchat
aquí puedo saber mi valor a pagar y la fecha limite de pago	l_General, q_Chitchat
cuando me reconectan el servicio, como hago para cambiar el cable de la acometida	l_General, q_Chitchat, q_Faq
que debo hacer para financiar por brilla	l_General, q_Chitchat, q_Faq
aquí puedo descargar el estado de cuenta	l_General, q_Chitchat
se me perdio la factura y necesito pagar por aquí me pueden indicar la fecha de pago y el valor a pagar	l_General, q_Chitchat
como hago para pedir la garantia	q_Chitchat, q_Faq
me informa sobre servicios tecnicos prestados en su empresa	q_Chitchat, q_Faq
reclamo y queja por el servicio	q_Chitchat, q_Faq
quiero consultar mi factura	l_General, q_Chitchat
catalogo de servicios brilla	q_Chitchat, q_Faq
imprimir resumen de lo cobrado el año	l_General, q_Chitchat
cuanto se demoran en arreglar el daño	q_Chitchat, q_Faq
tiempos de reconexion	q_Chitchat, q_Faq
cada cuanto debo de hacer la revision periodica	q_Chitchat, q_Faq
certificado de pago de los meses	l_General, q_Chitchat
pueden mandar una visita para mantenimiento	q_Chitchat, q_Faq
quiero quejarme	q_Chitchat, q_Faq
no puedo pagar toda la factura y quiero hacer un abono	l_General, q_Chitchat
donde puedo financiar con credito brilla	q_Chitchat, q_Faq
cuanto debo de mi factura	l_General, q_Chitchat
como coloco una queja	q_Chitchat, q_Faq
por aquí puedo imprimir un certificado de mi recibo	l_General, q_Chitchat
imprimir resumen estado de cuenta	l_General, q_Chitchat
como son las tarifas de servicios	q_Chitchat, q_Faq
listado de proveedores brilla	q_Chitchat, q_Faq
no entiendo los cobros que llegan en la factura	q_Chitchat, q_Faq
cual es la garantia de lo que compre con brilla	q_Chitchat, q_Faq
reclamo	q_Chitchat, q_Faq
que tiempo se demoran en solucionar	q_Chitchat, q_Faq
duplicado de factura	l_General, q_Chitchat
precios de tarifas	q_Chitchat, q_Faq
en cuantos dias me dan la respuesta la empresa	q_Chitchat, q_Faq
brilla garantia	q_Chitchat, q_Faq
cuanto se demoran en darme respuesta a mi pqr	q_Chitchat, q_Faq
ganarme la exencion de contribucion	l_General, q_Chitchat
hasta cuando tengo plazo de pagar mi factura	l_General, q_Chitchat
abona a tu factura	l_General, q_Chitchat
imprimir factura pagada de	l_General, q_Chitchat
adquirir un seguro con brilla	l_General, q_Chitchat
por este medio peudo imprimir estado de cuenta	l_General, q_Chitchat
cuando sera la revision periodica	l_General, q_Chitchat
quiero pagar una parte de mi recibo	l_General, q_Chitchat
reclama por el consumo alto facturado	q_Chitchat, q_Faq
como puedo financiar	l_General, q_Chitchat
donde puedo sacar un tv con mi cupo brilla	q_Chitchat, q_Faq
no entiendo por que me facturar alumbrado publico	q_Chitchat, q_Faq
detalle del recibo	q_Chitchat, q_Faq
necesito reconectar el servicio	l_General, q_Chitchat
me puede explicar los detalles de la factura	q_Chitchat, q_Faq
cuando se vence mi factura	l_General, q_Chitchat
todas mis deudas pendientes colocarlas en un solo monto	q_Chitchat, q_Faq
tengo un seguro en mi factura y necesito hacerlo efectivo	q_Chitchat, q_Faq
estado pqr	l_General, q_Chitchat
cuál es mi saldo pendiente por pagar	l_General, q_Chitchat
imprimir constancia de pago	l_General, q_Chitchat
cuando me notifican	q_Chitchat, q_Faq
necesito pagar mi recibo y se me perdio	l_General, q_Chitchat
cuando me dan respuesta	q_Chitchat, q_Faq
requieren realizar mantenimiento al medidor	q_Chitchat, q_Faq
necesito reparar lo encontrado en la revision periodica	q_Chitchat, q_Faq
que productos puedo sacar con el cupo brilla	q_Chitchat, q_Faq
quiero consultar mi recibo	l_General, q_Chitchat
valor de conexion	q_Chitchat, q_Faq
solicito trabajos varios	q_Chitchat, q_Faq
deseo abonar a brilla	l_General, q_Chitchat
cuanto tiempo se demoran	q_Chitchat, q_Faq
me puede informar sobre una revision periodica.	q_Chitchat, q_Faq
por aquí me generan un certificado de los valores cobrados en mi recibo	l_General, q_Chitchat
cuando es la fecha limite de pago de mi factura	l_General, q_Chitchat
donde encuentro el precio del	q_Chitchat, q_Faq
quiero saber que es lo que me cobran en las facturas	q_Chitchat, q_Faq
quien recibe credito brilla	q_Chitchat, q_Faq
puedo financiar con brilla	l_General, q_Chitchat
por aquí puedo saber que me cobraron el mes de	l_General, q_Chitchat
necesito saber que facturas he pagado	l_General, q_Chitchat
como reclamar seguro de siniestro	q_Chitchat, q_Faq
que debo hacer para obtener una certificación de lo facturado	l_General, q_Chitchat
solo cocino una vez al dia, porque me cobran tanto	l_General, q_Chitchat
cuando vence mi factura	l_General, q_Chitchat
quiero un crédito de brilla	l_General, q_Chitchat
quiero mi revision periodica	q_Chitchat, q_Faq
reporte un daño en cuanto tiempo van los de la tecnicos a arreglar el problema	q_Chitchat, q_Faq
cuando me solucionan	q_Chitchat, q_Faq
cuanto tiempo tiene de garantia el producto que se financio mediante brilla	q_Chitchat, q_Faq
cual es la tarifa vigente	q_Chitchat, q_Faq
reclamo por incremento en la factura	q_Chitchat, q_Faq
donde puedo poner una queja	q_Chitchat, q_Faq
como hago para quejarme	q_Chitchat, q_Faq
generar estado de cuenta	l_General, q_Chitchat
que es la tasa de intereses	q_Chitchat, q_Faq
errores de consumo	l_General, q_Chitchat
beneficios con la revision periodica	q_Chitchat, q_Faq
ya tengo otro seguro, necesito cancelar este	q_Chitchat, q_Faq
proveedores brilla por ciudad	q_Chitchat, q_Faq
donde o como puedo presentar una solicitud por la garantia de un electrodomestico	q_Chitchat, q_Faq
puedo financiar credito de estudio	q_Chitchat, q_Faq
soporte de pago del ultimo trimestre	l_General, q_Chitchat
en cuento tiempo esta la respuesta al reclamo de una pqr	q_Chitchat, q_Faq
quiero expresar una inconformidad	q_Chitchat, q_Faq
necesito un duplicado de la factura	l_General, q_Chitchat
como puedo concer lo que me cobran en la factura	q_Chitchat, q_Faq
como hago para unir todas las deudas brilla en una sola	q_Chitchat, q_Faq
cuál fue el último valor cancelado	l_General, q_Chitchat
como reclamar seguro fallecido	q_Chitchat, q_Faq
es brilla	q_Chitchat, q_Faq
solicito informacion contenido de la factura	q_Chitchat, q_Faq
que se puede financiar con brilla	q_Chitchat, q_Faq
usted me puede explicar esto que dice aqui a que corresponde	q_Chitchat, q_Faq
agradezco se sirvan revisar el estado de facturaciòn, ya que se viene presentando un incremento injustificado	l_General, q_Chitchat
cupon pago anticipado	l_General, q_Chitchat
deseo pagar anticipada mi factura	l_General, q_Chitchat
aquí puedo imprmir mi factura	l_General, q_Chitchat
queja	q_Chitchat, q_Faq
quiero saber donde puedo financiar	q_Chitchat, q_Faq
requiero modificar mi red	q_Chitchat, q_Faq
adelantar pago de recibo	l_General, q_Chitchat
quiero cancelar un seguro que aparece en mi factura	q_Chitchat, q_Faq
brilla tiene garantia	q_Chitchat, q_Faq
sumar cupos brilla	q_Chitchat, q_Faq
como puedo imprimir mi factura	l_General, q_Chitchat
utiliza tu cupo	l_General, q_Chitchat
cuanto se demoran en atender la solicitud	q_Chitchat, q_Faq
el valor del cargo de conexion	q_Chitchat, q_Faq
cual es la garantia de los productos adquiridos por brilla	q_Chitchat, q_Faq
como puedo saber si ya pague	l_General, q_Chitchat
porque las tarifas cambian	q_Chitchat, q_Faq
solicite su revision periodica	l_General, q_Chitchat, q_Faq
cuanto me demora la pqr	q_Chitchat, q_Faq
cuando vienen a realizar mi servicio	q_Chitchat, q_Faq
por favor no entiendo mi recibo	q_Chitchat, q_Faq
necesito saber que recibos he pagado	l_General, q_Chitchat
para saber si este funcionario pertenece a la empresa	l_General, q_Chitchat
cuales son los almacenes que tienen convenio	q_Chitchat, q_Faq
con brilla puedo financiar xxxx	q_Chitchat, q_Faq
como puedo usar el cupo brilla	l_General, q_Chitchat
tiempo de atencion	q_Chitchat, q_Faq
proxima revision	l_General, q_Chitchat
como hago para acceder a un credito de brilla	l_General, q_Chitchat
que tarifa manejan	q_Chitchat, q_Faq
certificado de tus recibos	l_General, q_Chitchat
si tengo varias casas con cupo y quiero unirlos	q_Chitchat, q_Faq
como unificar mis cupos en uno solo	q_Chitchat, q_Faq
puedo usar varios cupos al mismo tiempo	q_Chitchat, q_Faq
solicito el favor se me informe donde esta el costo del consumo	q_Chitchat, q_Faq
ya pague como hago para que me reconecten	l_General, q_Chitchat, q_Faq
la compañia es el encargado de las garantias de los productos que se compran con brilla	q_Chitchat, q_Faq
un anticipo de mi recibo	l_General, q_Chitchat
que tiempo debo esperar para que se atienda mi solicitud	q_Chitchat, q_Faq
estado de solicitud sqr	l_General, q_Chitchat
a que hora me realizan la reconexion	l_General, q_Chitchat, q_Faq
cuanto tiempo se demoran en darme respuesta	q_Chitchat, q_Faq
unificacion de cupos	q_Chitchat, q_Faq
quiero hacer un prepago a mi recibo	l_General, q_Chitchat
valor m3	q_Chitchat, q_Faq
solicito colocar una queja o reclamo	q_Chitchat, q_Faq
se me daño mi producto	q_Chitchat, q_Faq
necesito el código para pagar por internet	l_General, q_Chitchat
necesito hacer efectivo el seguro de fallecido	q_Chitchat, q_Faq
necesito unir varios cupos que hago	q_Chitchat, q_Faq
expliqueme donde aparece desde que fecha me estan cobrando el consumo de este mes	q_Chitchat, q_Faq
detalle de tarifas de gas	q_Chitchat, q_Faq
quiero una certificación de mi factura	l_General, q_Chitchat
lista de productos credito brilla	q_Chitchat, q_Faq
puedo financiar la universidad	q_Chitchat, q_Faq
donde puedo ver el catalogo de productos brilla	q_Chitchat, q_Faq
quiero abonar a mi factura	l_General, q_Chitchat
necesito que no compren con brilla	q_Chitchat, q_Faq
cual es el tiempo de atencion de la reparacion	q_Chitchat, q_Faq
como pudo cobrar la garantia de un producto	q_Chitchat, q_Faq
no quiero seguir con un seguro que tengo en la factura	q_Chitchat, q_Faq
por aqui puedo poner una queja	q_Chitchat, q_Faq
que documentos debo traer para solicita cancelacion de poliza	q_Chitchat, q_Faq
necesito hacer la revision de cada 5 años	q_Chitchat, q_Faq
cuales son los proveedores que maneja brilla	q_Chitchat, q_Faq
generar recibo para un pago adelantado	l_General, q_Chitchat
donde puedo reclamar la garantia	q_Chitchat, q_Faq
porque me están cobrando ese consumo	l_General, q_Chitchat
imprimir certificado de factura	l_General, q_Chitchat
cual es el precio que estan cobrando por	q_Chitchat, q_Faq
cuál es el valor de mi ultimo pago	l_General, q_Chitchat
me suspendieron, cuando me reconectan el servicio	l_General, q_Chitchat, q_Faq
queja por servicios	q_Chitchat, q_Faq
necesito adelantar el pago de mi factura	l_General, q_Chitchat
en cuanto tiempo me dan respuesta a la reclamacion	q_Chitchat, q_Faq
saldo a capital	q_Chitchat, q_Faq
lista de productos y servicios para comprar con brilla	q_Chitchat, q_Faq
lista de servicios credito brilla	q_Chitchat, q_Faq
por que no me han hecho la reconexion	l_General, q_Chitchat, q_Faq
el señor con cedula xxx dice que viene de su empresa a realizar una revision	l_General, q_Chitchat
porque tan cara mi factura	l_General, q_Chitchat
datos de las funerarias	q_Chitchat, q_Faq
en cuanto tiempo me van a solucionar mi reclamo	q_Chitchat, q_Faq
para validar si el señor con cedula xxx trabaja con ustedes	l_General, q_Chitchat
necesito pagar mi factura y no la tengo	l_General, q_Chitchat
estado de solicitud pqrs	l_General, q_Chitchat
revision quinquenal	q_Chitchat, q_Faq
donde puedo obtener informacion de servicio tecnicos	q_Chitchat, q_Faq
que debo presentar para reclamar un seguro	q_Chitchat, q_Faq
que debo hacer para que no me llegue el cobro de seguro	q_Chitchat, q_Faq
para reportar una queja reclamo	q_Chitchat, q_Faq
necesito el soporte de mi ultimo pago	l_General, q_Chitchat
porque tengo este item en mi recibo	q_Chitchat, q_Faq
fecha proxima revision periodica	l_General, q_Chitchat
que necesito para que no se haga uso del cupo brilla	q_Chitchat, q_Faq
quien debe pagar la revision periodica	q_Chitchat, q_Faq
como puedo consultar mi cupo brilla	l_General, q_Chitchat
quiero una certificación de mi recibo	l_General, q_Chitchat
aquí puedo imprmir mi recibo	l_General, q_Chitchat
no he utilizado todo ese consumo o servicio	l_General, q_Chitchat
donde puedo ir para sacar un producto con brilla	q_Chitchat, q_Faq
que es servicio y servicio publico	q_Chitchat, q_Faq
tarifas vigentes	q_Chitchat, q_Faq
que es recargo por mora	q_Chitchat, q_Faq
el valor del m3/kwh	q_Chitchat, q_Faq
traslado de pago	q_Chitchat, q_Faq
que debo hacer si acaba de fallecer un	q_Chitchat, q_Faq
me parece que me estan cobrando mas	l_General, q_Chitchat
yo casi no cocino, porque me cobran tanto consumo	l_General, q_Chitchat
saldo anterior	q_Chitchat, q_Faq
como hago para poder usar el cupo de brilla, donde puedo comprar	q_Chitchat, q_Faq
cuando es mi proxima revision	l_General, q_Chitchat
como puedo saber que recibos pague	l_General, q_Chitchat
imprimir certificado de recibo	l_General, q_Chitchat
que tramite hay que hacer y cuanto cuesta una revision periodica	q_Chitchat, q_Faq
por aqui me pueden explicar mi factura	q_Chitchat, q_Faq
por que subio la tarifa de energia	q_Chitchat, q_Faq
cuándo se vence mi factura	l_General, q_Chitchat
quiero un seguro brilla	l_General, q_Chitchat
quiero una certificación de los pagos	l_General, q_Chitchat
cuanto se demoran en reconectarme	l_General, q_Chitchat, q_Faq
vengo a reclamar por la siguiente factura	q_Chitchat, q_Faq
acuerdo de pago	q_Chitchat, q_Faq
el titular del credito fallecio	q_Chitchat, q_Faq
en cuantos dias dan respuesta a una solicitud	q_Chitchat, q_Faq
requiero modificar el centro de medicion	q_Chitchat, q_Faq
necesito una visita para el mantenimiento del transformador.	q_Chitchat, q_Faq
reportar fallecido	q_Chitchat, q_Faq
en cuanto tiempo me dan la respuesta al reclamo	q_Chitchat, q_Faq
puedo pagar con varios cupos brilla	q_Chitchat, q_Faq
cuando vienen a conectar la estufa	q_Chitchat, q_Faq
como puedo conocer mi recibo	q_Chitchat, q_Faq
necesito imprimir mi recibo	l_General, q_Chitchat
quiero un seguro	l_General, q_Chitchat
por aquí puedo conocer el valor de mi factura	l_General, q_Chitchat
quiero consultar mi cupo brilla	l_General, q_Chitchat
reclamo por exceso de cobro de la factura	l_General, q_Chitchat
cupon prepago	l_General, q_Chitchat
compre un articulo y se daño necesito la garantia	q_Chitchat, q_Faq
generar cupon para pago anticipado	l_General, q_Chitchat
seguro de fallecido	q_Chitchat, q_Faq
que paso con la facturacion del mes que llego con un valor muy alto	l_General, q_Chitchat
en la ciudad cuales proveedores	q_Chitchat, q_Faq
en donde puedo sacar electrodomesticos con el cupo	q_Chitchat, q_Faq
como hago para que vengan hacerme un arreglo	q_Chitchat, q_Faq
eliminar el seguro que tengo	q_Chitchat, q_Faq
debo reportar un siniestro para el seguro funerario	q_Chitchat, q_Faq
quiero pagar por adelantado	l_General, q_Chitchat
me puede informar donde puedo sacar a credito un electrodomestico	q_Chitchat, q_Faq
como puedo obtener el credito brilla	l_General, q_Chitchat
necesito pagar mi factura y se me perdio	l_General, q_Chitchat
por aquí puedo imprimir una constancia de pago	l_General, q_Chitchat
puedo obtener un duplicado de la factura	l_General, q_Chitchat
exento de la contribucion	l_General, q_Chitchat
reconexion acometida	q_Chitchat, q_Faq
quiero hacer un prepago a mi factura	l_General, q_Chitchat
como hago para financiar por brilla	q_Chitchat, q_Faq
cuando tendre mi revision periodica	l_General, q_Chitchat
reconexion del servicio	l_General, q_Chitchat, q_Faq
portafolio brilla	q_Chitchat, q_Faq
deseo cancelar solo el brilla	l_General, q_Chitchat
en que tiendas puedo usar el credito brilla	q_Chitchat, q_Faq
convenios almacenes brilla	q_Chitchat, q_Faq
puntos de pago	q_Chitchat, q_Faq
explicacion para saber como se factura y el valor del kw/h	q_Chitchat, q_Faq
quiero imprimir un cupon para brilla	l_General, q_Chitchat
cuando me reconectan	l_General, q_Chitchat, q_Faq
en cuanto tiempo me da respuesta de la solicitud que radique	q_Chitchat, q_Faq
necesito saber que es lo que me estan cobrando	q_Chitchat, q_Faq
como puedo utilizar el cupo brilla	l_General, q_Chitchat
adquirir seguro brilla	l_General, q_Chitchat
estado de solicitud pqr	l_General, q_Chitchat
existe la posiblidad de que en dos facturas se pueda acceder a un solo cupo brilla	q_Chitchat, q_Faq
sacar a credito con brilla	l_General, q_Chitchat
por aqui puedo adquirir mi seguro brilla	l_General, q_Chitchat
aquí me pueden dar un duplicado de mi recibo	l_General, q_Chitchat
adelantar pago de factura	l_General, q_Chitchat
tengo un incremento en mi factura	l_General, q_Chitchat
en cuantos dias dan respuesta a una solicitud de pqr	q_Chitchat, q_Faq
porque cobran intereses en mi factura/recibo	q_Chitchat, q_Faq
soporte de pago	l_General, q_Chitchat
estoy inconforme con el servicio	q_Chitchat, q_Faq
donde puedo comprar con brilla	q_Chitchat, q_Faq
deseo un certificado de pago	l_General, q_Chitchat
horario de mi revision	l_General, q_Chitchat
presento reclamo por el aumento desproporcionado en la factura	l_General, q_Chitchat
que es el cupo brilla	q_Chitchat, q_Faq
para que ya no me salga eso de brilla, que hago	q_Chitchat, q_Faq
acaba de morir mi	q_Chitchat, q_Faq
esta una persona en mi casa y quiero saber si trabaja para ustedes	l_General, q_Chitchat
cuanto cuesta el gas	q_Chitchat, q_Faq
tiempos de atencion pqrs	q_Chitchat, q_Faq
como compruebo que la persona que esta en mi predio es empleado de ustedes	l_General, q_Chitchat
solicitud pqr	l_General, q_Chitchat
deseo hacer un abono a mi factura	l_General, q_Chitchat
no puedo pagar toda el recibo y quiero hacer un abono	l_General, q_Chitchat
necesito adelantar el pago de mi recibo	l_General, q_Chitchat
como hago para usar dos cupos	q_Chitchat, q_Faq
cuando me realizar la reconexion del servicio	l_General, q_Chitchat, q_Faq
que se hace para que no le acepten pagos por cuotas al inquilino	q_Chitchat, q_Faq
tarifa de gas natural	q_Chitchat, q_Faq
alamacenes para usar cupo brilla	q_Chitchat, q_Faq
quiero saber el historial de mi recibo	l_General, q_Chitchat
quiero adquirir un seguro brilla	l_General, q_Chitchat
que requisitos debo presentar para bloquear mi factura	q_Chitchat, q_Faq
como hago para que no aparesca el cupo en el recibo	q_Chitchat, q_Faq
quiero un soporte de pago del ultimo año	l_General, q_Chitchat
constancia de pago de los meses	l_General, q_Chitchat
los productos pagados con brilla tienen garantia	q_Chitchat, q_Faq
reparacion de intalacion del gas	q_Chitchat, q_Faq
solicitud servicio tecnico	q_Chitchat, q_Faq
costo de conexion	q_Chitchat, q_Faq
prepago factura	l_General, q_Chitchat
a quien me le puedo dirigir para la informacion de tarifas si por medio de una solictud escrita ay otro medio	q_Chitchat, q_Faq
acumular el cupo brilla	q_Chitchat, q_Faq
cual es el saldo actual de mi recibo	l_General, q_Chitchat
mi recibo ha subido	l_General, q_Chitchat
a donde me dirijo para un crédito con brilla	l_General, q_Chitchat
quiero adelantar un pago	l_General, q_Chitchat
unificar 3 cupos	q_Chitchat, q_Faq
no quiero el cupo de brilla	q_Chitchat, q_Faq
tengo dudas con mi consumo	l_General, q_Chitchat
deseo una relación de los pagos realizados	l_General, q_Chitchat
quiero instalar una terma adicional	q_Chitchat, q_Faq
quiero un certificado de los valores cobrados en mi recibo	l_General, q_Chitchat
no quiero que usen mi cupo de brilla	q_Chitchat, q_Faq
tengo cupo y quiero comprar un producto con brilla	l_General, q_Chitchat
recien compre un producto y no sirve, necesito que me respondan	q_Chitchat, q_Faq
podria explicarme valores de mi factura	q_Chitchat, q_Faq
consumo facturado	l_General, q_Chitchat
requiero hacer los trabajos de la revision periodica	q_Chitchat, q_Faq
como hacen la reconexion	q_Chitchat, q_Faq
descargar constancia de pago	l_General, q_Chitchat
imprimir estado de cuenta	l_General, q_Chitchat
