Utterance	Intents
cuanto se demoran en darme respuesta a mi pqr	q_Chitchat, q_Faq
ganarme la exencion de contribucion	l_General, q_Chitchat
hasta cuando tengo plazo de pagar mi factura	l_General, q_Chitchat
abona a tu factura	l_General, q_Chitchat
adquirir un seguro con brilla	l_General, q_Chitchat
quiero pagar una parte de mi recibo	l_General, q_Chitchat
como puedo financiar	l_General, q_Chitchat
detalle del recibo	q_Chitchat, q_Faq
necesito reconectar el servicio	l_General, q_Chitchat
me puede explicar los detalles de la factura	q_Chitchat, q_Faq
cuando se vence mi factura	l_General, q_Chitchat
todas mis deudas pendientes colocarlas en un solo monto	q_Chitchat, q_Faq
tengo un seguro en mi factura y necesito hacerlo efectivo	q_Chitchat, q_Faq
cuál es mi saldo pendiente por pagar	l_General, q_Chitchat
cuando me notifican	q_Chitchat, q_Faq
necesito pagar mi recibo y se me perdio	l_General, q_Chitchat
cuando me dan respuesta	q_Chitchat, q_Faq
requieren realizar mantenimiento al medidor	q_Chitchat, q_Faq
necesito reparar lo encontrado en la revision periodica	q_Chitchat, q_Faq
que productos puedo sacar con el cupo brilla	q_Chitchat, q_Faq
quiero consultar mi recibo	l_General, q_Chitchat
valor de conexion	q_Chitchat, q_Faq
solicito trabajos varios	q_Chitchat, q_Faq
deseo abonar a brilla	l_General, q_Chitchat
cuanto tiempo se demoran	q_Chitchat, q_Faq
por aquí me generan un certificado de los valores cobrados en mi recibo	l_General, q_Chitchat
cuando es la fecha limite de pago de mi factura	l_General, q_Chitchat
quien recibe credito brilla	q_Chitchat, q_Faq
puedo financiar con brilla	l_General, q_Chitchat
por aquí puedo saber que me cobraron el mes de	l_General, q_Chitchat
como reclamar seguro de siniestro	q_Chitchat, q_Faq
cuando vence mi factura	l_General, q_Chitchat
quiero mi revision periodica	q_Chitchat, q_Faq
reporte un daño en cuanto tiempo van los de la tecnicos a arreglar el problema	q_Chitchat, q_Faq
cuando me solucionan	q_Chitchat, q_Faq
reclamo por incremento en la factura	q_Chitchat, q_Faq
generar estado de cuenta	l_General, q_Chitchat
que es la tasa de intereses	q_Chitchat, q_Faq
errores de consumo	l_General, q_Chitchat
beneficios con la revision periodica	q_Chitchat, q_Faq
soporte de pago del ultimo trimestre	l_General, q_Chitchat
en cuento tiempo esta la respuesta al reclamo de una pqr	q_Chitchat, q_Faq
quiero expresar una inconformidad	q_Chitchat, q_Faq
como puedo concer lo que me cobran en la factura	q_Chitchat, q_Faq
cuál fue el último valor cancelado	l_General, q_Chitchat
como reclamar seguro fallecido	q_Chitchat, q_Faq
es brilla	q_Chitchat, q_Faq
solicito informacion contenido de la factura	q_Chitchat, q_Faq
usted me puede explicar esto que dice aqui a que corresponde	q_Chitchat, q_Faq
deseo pagar anticipada mi factura	l_General, q_Chitchat
aquí puedo imprmir mi factura	l_General, q_Chitchat
quiero saber donde puedo financiar	q_Chitchat, q_Faq
requiero modificar mi red	q_Chitchat, q_Faq
adelantar pago de recibo	l_General, q_Chitchat
quiero cancelar un seguro que aparece en mi factura	q_Chitchat, q_Faq
brilla tiene garantia	q_Chitchat, q_Faq
sumar cupos brilla	q_Chitchat, q_Faq
utiliza tu cupo	l_General, q_Chitchat
cuanto se demoran en atender la solicitud	q_Chitchat, q_Faq
cual es la garantia de los productos adquiridos por brilla	q_Chitchat, q_Faq
porque las tarifas cambian	q_Chitchat, q_Faq
solicite su revision periodica	l_General, q_Chitchat, q_Faq
cuanto me demora la pqr	q_Chitchat, q_Faq
cuando vienen a realizar mi servicio	q_Chitchat, q_Faq
por favor no entiendo mi recibo	q_Chitchat, q_Faq
necesito saber que recibos he pagado	l_General, q_Chitchat
con brilla puedo financiar xxxx	q_Chitchat, q_Faq
como puedo usar el cupo brilla	l_General, q_Chitchat
tiempo de atencion	q_Chitchat, q_Faq
proxima revision	l_General, q_Chitchat
como hago para acceder a un credito de brilla	l_General, q_Chitchat
que tarifa manejan	q_Chitchat, q_Faq
certificado de tus recibos	l_General, q_Chitchat
si tengo varias casas con cupo y quiero unirlos	q_Chitchat, q_Faq
puedo usar varios cupos al mismo tiempo	q_Chitchat, q_Faq
la compañia es el encargado de las garantias de los productos que se compran con brilla	q_Chitchat, q_Faq
un anticipo de mi recibo	l_General, q_Chitchat
que tiempo debo esperar para que se atienda mi solicitud	q_Chitchat, q_Faq
a que hora me realizan la reconexion	l_General, q_Chitchat, q_Faq
cuanto tiempo se demoran en darme respuesta	q_Chitchat, q_Faq
unificacion de cupos	q_Chitchat, q_Faq
quiero hacer un prepago a mi recibo	l_General, q_Chitchat
valor m3	q_Chitchat, q_Faq
se me daño mi producto	q_Chitchat, q_Faq
necesito el código para pagar por internet	l_General, q_Chitchat
necesito hacer efectivo el seguro de fallecido	q_Chitchat, q_Faq
necesito unir varios cupos que hago	q_Chitchat, q_Faq
detalle de tarifas de gas	q_Chitchat, q_Faq
quiero una certificación de mi factura	l_General, q_Chitchat
lista de productos credito brilla	q_Chitchat, q_Faq
puedo financiar la universidad	q_Chitchat, q_Faq
donde puedo ver el catalogo de productos brilla	q_Chitchat, q_Faq
quiero abonar a mi factura	l_General, q_Chitchat
necesito que no compren con brilla	q_Chitchat, q_Faq
como pudo cobrar la garantia de un producto	q_Chitchat, q_Faq
que documentos debo traer para solicita cancelacion de poliza	q_Chitchat, q_Faq
cuales son los proveedores que maneja brilla	q_Chitchat, q_Faq
donde puedo reclamar la garantia	q_Chitchat, q_Faq
imprimir certificado de factura	l_General, q_Chitchat
cuál es el valor de mi ultimo pago	l_General, q_Chitchat
queja por servicios	q_Chitchat, q_Faq
en cuanto tiempo me dan respuesta a la reclamacion	q_Chitchat, q_Faq
lista de servicios credito brilla	q_Chitchat, q_Faq
por que no me han hecho la reconexion	l_General, q_Chitchat
el señor con cedula xxx dice que viene de su empresa a realizar una revision	l_General, q_Chitchat
datos de las funerarias	q_Chitchat, q_Faq
necesito pagar mi factura y no la tengo	l_General, q_Chitchat
estado de solicitud pqrs	l_General, q_Chitchat
revision quinquenal	q_Chitchat, q_Faq
que debo presentar para reclamar un seguro	q_Chitchat, q_Faq
que debo hacer para que no me llegue el cobro de seguro	q_Chitchat, q_Faq
para reportar una queja reclamo	q_Chitchat, q_Faq
porque tengo este item en mi recibo	q_Chitchat, q_Faq
que necesito para que no se haga uso del cupo brilla	q_Chitchat, q_Faq
quien debe pagar la revision periodica	q_Chitchat, q_Faq
como puedo consultar mi cupo brilla	l_General, q_Chitchat
quiero una certificación de mi recibo	l_General, q_Chitchat
no he utilizado todo ese consumo o servicio	l_General, q_Chitchat
que es servicio y servicio publico	q_Chitchat, q_Faq
que es recargo por mora	q_Chitchat, q_Faq
el valor del m3/kwh	q_Chitchat, q_Faq
traslado de pago	q_Chitchat, q_Faq
me parece que me estan cobrando mas	l_General, q_Chitchat
como hago para poder usar el cupo de brilla, donde puedo comprar	q_Chitchat, q_Faq
cuando es mi proxima revision	l_General, q_Chitchat
imprimir certificado de recibo	l_General, q_Chitchat
por aqui me pueden explicar mi factura	q_Chitchat, q_Faq
por que subio la tarifa de energia	q_Chitchat, q_Faq
cuándo se vence mi factura	l_General, q_Chitchat
cuanto se demoran en reconectarme	l_General, q_Chitchat, q_Faq
vengo a reclamar por la siguiente factura	q_Chitchat, q_Faq
acuerdo de pago	q_Chitchat, q_Faq
en cuantos dias dan respuesta a una solicitud	q_Chitchat, q_Faq
requiero modificar el centro de medicion	q_Chitchat, q_Faq
en cuanto tiempo me dan la respuesta al reclamo	q_Chitchat, q_Faq
necesito imprimir mi recibo	l_General, q_Chitchat
por aquí puedo conocer el valor de mi factura	l_General, q_Chitchat
cupon prepago	l_General, q_Chitchat
compre un articulo y se daño necesito la garantia	q_Chitchat, q_Faq
generar cupon para pago anticipado	l_General, q_Chitchat
que paso con la facturacion del mes que llego con un valor muy alto	l_General, q_Chitchat
en la ciudad cuales proveedores	q_Chitchat, q_Faq
en donde puedo sacar electrodomesticos con el cupo	q_Chitchat, q_Faq
como hago para que vengan hacerme un arreglo	q_Chitchat, q_Faq
eliminar el seguro que tengo	q_Chitchat, q_Faq
debo reportar un siniestro para el seguro funerario	q_Chitchat, q_Faq
quiero pagar por adelantado	l_General, q_Chitchat
me puede informar donde puedo sacar a credito un electrodomestico	q_Chitchat, q_Faq
como puedo obtener el credito brilla	l_General, q_Chitchat
puedo obtener un duplicado de la factura	l_General, q_Chitchat
exento de la contribucion	l_General, q_Chitchat
reconexion acometida	q_Chitchat, q_Faq
como hago para financiar por brilla	q_Chitchat, q_Faq
cuando tendre mi revision periodica	l_General, q_Chitchat
reconexion del servicio	l_General, q_Chitchat
portafolio brilla	q_Chitchat, q_Faq
deseo cancelar solo el brilla	l_General, q_Chitchat
puntos de pago	q_Chitchat, q_Faq
explicacion para saber como se factura y el valor del kw/h	q_Chitchat, q_Faq
quiero imprimir un cupon para brilla	l_General, q_Chitchat
cuando me reconectan	l_General, q_Chitchat, q_Faq
como puedo utilizar el cupo brilla	l_General, q_Chitchat
adquirir seguro brilla	l_General, q_Chitchat
estado de solicitud pqr	l_General, q_Chitchat
sacar a credito con brilla	l_General, q_Chitchat
por aqui puedo adquirir mi seguro brilla	l_General, q_Chitchat
adelantar pago de factura	l_General, q_Chitchat
tengo un incremento en mi factura	l_General, q_Chitchat
porque cobran intereses en mi factura/recibo	q_Chitchat, q_Faq
estoy inconforme con el servicio	q_Chitchat, q_Faq
donde puedo comprar con brilla	q_Chitchat, q_Faq
deseo un certificado de pago	l_General, q_Chitchat
presento reclamo por el aumento desproporcionado en la factura	l_General, q_Chitchat
que es el cupo brilla	q_Chitchat, q_Faq
acaba de morir mi	q_Chitchat, q_Faq
esta una persona en mi casa y quiero saber si trabaja para ustedes	l_General, q_Chitchat
cuanto cuesta el gas	q_Chitchat, q_Faq
tiempos de atencion pqrs	q_Chitchat, q_Faq
como compruebo que la persona que esta en mi predio es empleado de ustedes	l_General, q_Chitchat
deseo hacer un abono a mi factura	l_General, q_Chitchat
como hago para usar dos cupos	q_Chitchat, q_Faq
tarifa de gas natural	q_Chitchat, q_Faq
alamacenes para usar cupo brilla	q_Chitchat, q_Faq
quiero saber el historial de mi recibo	l_General, q_Chitchat
como hago para que no aparesca el cupo en el recibo	q_Chitchat, q_Faq
constancia de pago de los meses	l_General, q_Chitchat
costo de conexion	q_Chitchat, q_Faq
prepago factura	l_General, q_Chitchat
acumular el cupo brilla	q_Chitchat, q_Faq
cual es el saldo actual de mi recibo	l_General, q_Chitchat
a donde me dirijo para un crédito con brilla	l_General, q_Chitchat
quiero adelantar un pago	l_General, q_Chitchat
unificar 3 cupos	q_Chitchat, q_Faq
no quiero el cupo de brilla	q_Chitchat, q_Faq
tengo dudas con mi consumo	l_General, q_Chitchat
quiero instalar una terma adicional	q_Chitchat, q_Faq
quiero un certificado de los valores cobrados en mi recibo	l_General, q_Chitchat
tengo cupo y quiero comprar un producto con brilla	l_General, q_Chitchat
podria explicarme valores de mi factura	q_Chitchat, q_Faq
consumo facturado	l_General, q_Chitchat
requiero hacer los trabajos de la revision periodica	q_Chitchat, q_Faq
como hacen la reconexion	q_Chitchat, q_Faq
descargar constancia de pago	l_General, q_Chitchat
imprimir estado de cuenta	l_General, q_Chitchat
que hago para que me revisen o hagan mantenimiento	q_Chitchat, q_Faq
que puedo hacer para no realicen financiaciones brilla en mi factura	q_Chitchat, q_Faq
cuál es el número de cupón	l_General, q_Chitchat
cuanto cobran por la reconexion	q_Chitchat, q_Faq
en la oficina se pueden hacer reclamo	q_Chitchat, q_Faq
deseo generar mi recibo	l_General, q_Chitchat
quiero saber que recibos cancele durante x fechas	l_General, q_Chitchat
me podria informar desde que punto se realizo la reconexion del servicio	q_Chitchat, q_Faq
por aquí me pueden dar informacion de cuando debo pagar mi factura	l_General, q_Chitchat
compra tu seguro brilla	l_General, q_Chitchat
se me daño algo que compre con brilla	q_Chitchat, q_Faq
donde veo lo que me estan cobrando en el recibo	q_Chitchat, q_Faq
podria explicarme valores de mi recibo	q_Chitchat, q_Faq
informacion reconexion	l_General, q_Chitchat
no quiero pagar la poliza	q_Chitchat, q_Faq
cual es mi saldo de brilla	l_General, q_Chitchat
quiero un credito de brilla	q_Chitchat, q_Faq
qué valor debo de mi factura	l_General, q_Chitchat
deseo pagar anticipado mi recibo	l_General, q_Chitchat
quiero adquirir mi seguro brilla	l_General, q_Chitchat
porque me cobran esto	q_Chitchat, q_Faq
aquí me pueden dar un duplicado de la factura	l_General, q_Chitchat
mi factura ha aumentado	l_General, q_Chitchat
quiero un certificado de mi factura	l_General, q_Chitchat
en cuanto tiempo me dan respuesta a mi pqr	q_Chitchat, q_Faq
me están cobrando un consumo que no es	l_General, q_Chitchat
quiero imprimir un cupon de pago anticipado	l_General, q_Chitchat
para hacer un reclamo	q_Chitchat, q_Faq
comprar un seguro brilla	l_General, q_Chitchat
reclamo por servicios	q_Chitchat, q_Faq
aliados de brilla	q_Chitchat, q_Faq
con que universidades tiene convenio de brilla	q_Chitchat, q_Faq
garantia de un producto comprado a traves de brilla	q_Chitchat, q_Faq
deseo colocar una queja	q_Chitchat, q_Faq
que costo tiene la reconexion	q_Chitchat, q_Faq
donde puedo conseguir informacion de mantenimiento, visitas, revisiones	q_Chitchat, q_Faq
generar constancia de pago	l_General, q_Chitchat
necesito conocer el valor actual de mi factura	l_General, q_Chitchat
que productos y o electrodomesticos puedo sacar con el cupo brilla	q_Chitchat, q_Faq
cual es el telefono para el servicio funerario	q_Chitchat, q_Faq
quiero validar si esta persona trabaja con ustedes	l_General, q_Chitchat
mi factura ha subido	l_General, q_Chitchat
como puedo saber si ya pagaron la factura del mes	l_General, q_Chitchat
comprar seguro de vida con brilla	l_General, q_Chitchat
valor gas natural	q_Chitchat, q_Faq
listado de tiendas brilla	q_Chitchat, q_Faq
como hago para que me vayan a arreglar el contador	q_Chitchat, q_Faq
como hago para que me reconectene el servicio	l_General, q_Faq
deseo generar mi factura	l_General, q_Chitchat
vengo a colocar una queja me siento inconforme	q_Chitchat, q_Faq
quiero hacer una reparacion	q_Chitchat, q_Faq
como programo la revision periodica	q_Chitchat, q_Faq
adquiere tu seguro brilla	l_General, q_Chitchat
porque aumento la tarifa	q_Chitchat, q_Faq
deseo adquirir un seguro	l_General, q_Chitchat
debo varias facturas y quiero hacer un abono	l_General, q_Chitchat
como puedo acceder al credito de brilla	l_General, q_Chitchat
quiero abonar a mi recibo	l_General, q_Chitchat
cuales son los almacenes donde puede financiar	q_Chitchat, q_Faq
necesito conocer la fecha de pago de mi factura	l_General, q_Chitchat
exencion de la contribución	l_General, q_Chitchat
datos funeraria	q_Chitchat, q_Faq
como hago para hacer valido un seguro	q_Chitchat, q_Faq
lo que pasa es que se me daño la nevera y necesito que me la arreglen por la garantia	q_Chitchat, q_Faq
que necesito para bloquear el cupo de brilla ya que tengo la casa arrendada.	q_Chitchat, q_Faq
los productos tienen garantia	q_Chitchat, q_Faq
como se si mi producto tiene garantia	q_Chitchat, q_Faq
como puedo cancelar una poliza	q_Chitchat, q_Faq
porque tengo este item en mi factura	q_Chitchat, q_Faq
solicito conexion del poste a la vivienda	q_Chitchat, q_Faq
quiero poner un reclamo	q_Chitchat, q_Faq
